family,n,instance,m,prop_n,prop_m,prop_density,prop_avg_degree,prop_max_degree,prop_min_degree,prop_degree_std,prop_clustering_coeff,prop_diameter,prop_avg_path_length,prop_spectral_gap,prop_lambda_max_laplacian,prop_algebraic_connectivity,prop_spectral_radius,prop_lambda_min_adj,prop_n_components,random_cut,random_time,greedy_cut,greedy_time,spectral_cut,spectral_time,gw_cut,gw_time,gnn_cut,gnn_time,best_classical_cut,gnn_wins,gnn_ties
erdos_renyi,20,10,24,20,24,0.1263157894736842,2.4,4,1,1.1135528725660049,0.075,7,3.5105263157894737,0.0984225159535865,5.749791709512228,0.0984225159535865,2.951954025240873,-2.422506837856475,1,15.0,0.0004544160328805,21.0,0.0009962089825421,21.0,0.0013488330878317,22.0,0.0381060829386115,18.0,0.0967028331942856,22.0,0,0
erdos_renyi,20,11,28,20,28,0.1473684210526315,2.8,5,1,1.1224972160321824,0.39,8,3.642105263157895,0.0900768950942951,6.437251769979147,0.0900768950942951,3.651639636973004,-2.20786499815712,1,13.0,0.00044795894064,22.0,0.0004640419501811,22.0,0.001435583923012,23.0,0.0381154168862849,21.0,0.0904819590505212,23.0,0,0
erdos_renyi,20,12,39,20,39,0.2052631578947368,3.9,10,2,2.364318083507378,0.2978174603174603,4,2.168421052631579,0.7736904367253192,11.197219920384736,0.7736904367253192,5.312606017520855,-3.345581440083395,1,16.0,0.0005314999725669,32.0,0.0007210420444607,32.0,0.0012192500289529,32.0,0.0335846659727394,28.0,0.091170959174633,32.0,0,0
erdos_renyi,20,13,28,20,28,0.1473684210526315,2.8,6,1,1.2884098726725126,0.3533333333333333,7,3.305263157894737,0.1047553747109862,7.62041240569492,0.1047553747109862,3.643340813095079,-2.8499701435323095,1,17.0,0.0005630829837173,20.0,0.000592750031501,23.0,0.0013171250466257,23.0,0.0360538328532129,21.0,0.0865847091190517,23.0,0,0
erdos_renyi,20,14,26,20,26,0.1368421052631579,2.6,6,1,1.2806248474865698,0.1366666666666666,6,2.9842105263157896,0.2687556746097009,7.44143031402969,0.2687556746097009,3.3333427055257085,-2.798103118423002,1,12.0,0.0005015411879867,22.0,0.0005568331107497,23.0,0.0010407918598502,23.0,0.0349742909893393,22.0,0.0816218750551343,23.0,0,0
erdos_renyi,20,15,23,20,23,0.1210526315789473,2.3,4,1,1.004987562112089,0.0,7,3.163157894736842,0.1966457174452201,6.103172909347027,0.1966457174452201,2.779343100531664,-2.580280085774721,1,16.0,0.0004939581267535,19.0,0.0005441249813884,21.0,0.0009296659845858,22.0,0.0318528341595083,20.0,0.0760939579922705,22.0,0,0
erdos_renyi,20,16,30,20,30,0.1578947368421052,3.0,7,1,1.51657508881031,0.034047619047619,6,2.5473684210526315,0.4083447499396053,8.665498942402772,0.4083447499396053,3.780009691393304,-3.3581509019489237,1,17.0,0.0004989590961486,27.0,0.0006537500303238,27.0,0.0009965419303625,27.0,0.0314389578998088,23.0,0.0820216659922152,27.0,0,0
erdos_renyi,20,17,23,20,23,0.1210526315789473,2.3,4,1,0.9539392014169458,0.0416666666666666,8,3.6157894736842104,0.1068233194232444,6.030891601424409,0.1068233194232444,2.878132899520756,-2.5985589604273747,1,13.0,0.0003789172042161,18.0,0.0007658328395336,22.0,0.0011155421379953,22.0,0.0355847920291125,20.0,0.0783569579944014,22.0,0,0
erdos_renyi,20,18,26,20,26,0.1368421052631579,2.6,5,1,1.2806248474865698,0.0549999999999999,7,3.0157894736842104,0.171470899031462,6.714043703095333,0.171470899031462,3.390883128326932,-2.6841210963618254,1,12.0,0.0004935842007398,19.0,0.0005627078935503,23.0,0.0009438749402761,23.0,0.0312781247776001,19.0,0.0843229589518159,23.0,0,0
erdos_renyi,20,19,27,20,27,0.1421052631578947,2.7,6,1,1.307669683062202,0.0783333333333333,6,2.8842105263157896,0.2680442061976163,7.516397651851314,0.2680442061976163,3.5428114328901645,-2.741520907051658,1,14.0,0.0010338330175727,22.0,0.0017026669811457,22.0,0.0017414998728781,23.0,0.0307495000306516,22.0,0.0802256660535931,23.0,0,0
erdos_renyi,20,20,35,20,35,0.1842105263157894,3.5,6,1,1.3228756555322954,0.0933333333333333,6,2.3684210526315788,0.5133370414977116,8.226990954041828,0.5133370414977116,4.103800870032845,-3.027629067644882,1,17.0,0.0006055410485714,28.0,0.000618667108938,28.0,0.0013111669104546,29.0,0.0268368329852819,28.0,0.0882594170980155,29.0,0,0
erdos_renyi,20,21,24,20,24,0.1263157894736842,2.4,5,1,1.019803902718557,0.0333333333333333,10,3.878947368421053,0.0658809443412237,6.62594726850943,0.0658809443412237,3.063004106694038,-2.6847562262380245,1,11.0,0.0004857499152421,21.0,0.0005506670568138,22.0,0.0009999580215662,22.0,0.0401526249479502,22.0,0.0863319169729948,22.0,0,1
erdos_renyi,20,22,38,20,38,0.2,3.8,6,2,1.469693845669907,0.255,5,2.3789473684210525,0.5451190137745038,8.281892179254207,0.5451190137745038,4.676637977177005,-2.7762755055991177,1,12.0,0.0005152919329702,26.0,0.0007019159384071,28.0,0.0011148331686854,29.0,0.0369022078812122,27.0,0.0848067500628531,29.0,0,0
erdos_renyi,20,23,26,20,26,0.1368421052631579,2.6,6,1,1.3564659966250536,0.3516666666666667,7,3.2578947368421054,0.1167617079651572,7.183822979321966,0.1167617079651572,3.2077511705220156,-2.5920380931292453,1,15.0,0.0005119158886373,19.0,0.0008554579690098,21.0,0.001937290886417,22.0,0.0301504160743206,21.0,0.0849377079866826,22.0,0,0
