family,n,instance,m,density,avg_degree,max_degree,min_degree,degree_std,clustering_coeff,diameter,avg_path_length,spectral_gap,lambda_max_laplacian,algebraic_connectivity,spectral_radius,lambda_min_adj,n_components,greedy_colors,greedy_time,welsh_powell_colors,welsh_powell_time,dsatur_colors,dsatur_time,dsatur_valid,gnn_colors,gnn_time,gnn_valid,best_classical,gnn_wins
erdos_renyi,50,17,201,0.16408163265306122,8.04,13,3,2.6302851556437754,0.15684970584970584,4,2.053061224489796,2.3420801136108107,15.89162823854873,2.3420801136108107,8.879141270433397,-5.385366316511316,1,6,0.0002625000197440386,6,7.929117418825626e-05,5,0.0007835000287741423,True,16,0.001656249864026904,True,5,0
erdos_renyi,50,18,197,0.16081632653061226,7.88,13,3,2.2417850030723283,0.14768387168387168,4,2.0718367346938775,2.307557649096468,15.869334167833209,2.307557649096468,8.580097294805833,-4.914218665144847,1,7,0.00025704200379550457,6,7.866695523262024e-05,5,0.0007824171334505081,True,20,0.0016624999698251486,True,5,0
erdos_renyi,50,19,178,0.14530612244897959,7.12,12,2,2.303388807822075,0.14036652236652236,4,2.153469387755102,1.740748882329073,14.479818539110385,1.740748882329073,7.962057846773584,-4.777386062760103,1,6,0.00025387504138052464,5,7.78338871896267e-05,5,0.0007674589287489653,True,20,0.002766875084489584,True,5,0
erdos_renyi,50,20,210,0.17142857142857143,8.4,16,3,3.039736830714133,0.20065079365079364,3,2.0351020408163265,2.2438060464636833,17.805495617849367,2.2438060464636833,9.47299555486019,-4.807676987067277,1,6,0.00025812513194978237,6,8.041691035032272e-05,5,0.0007812080439180136,True,7,0.0016757911071181297,True,5,0
erdos_renyi,50,21,188,0.15346938775510205,7.52,15,2,2.4432764886520726,0.18086724386724387,4,2.109387755102041,1.6211348548381375,16.70822431799592,1.6211348548381375,8.308775322873556,-4.868100252609442,1,6,0.0002627498470246792,5,7.7791977673769e-05,4,0.0007811661344021559,True,20,0.0015946249477565289,True,4,0
erdos_renyi,50,22,212,0.1730612244897959,8.48,13,4,2.183941391154992,0.17217837717837717,3,2.0171428571428573,2.9207083461109913,15.611331903289834,2.9207083461109913,9.068010857286437,-4.981116016018952,1,6,0.0002591249067336321,6,8.079200051724911e-05,5,0.0007878749165683985,True,20,0.0016312079969793558,True,5,0
erdos_renyi,50,23,169,0.13795918367346938,6.76,15,1,2.796855377026134,0.15651948051948053,4,2.2457142857142856,0.8252648611265696,16.666270104749287,0.8252648611265696,8.035671989073807,-4.933229557285758,1,5,0.0002502079587429762,5,7.449998520314693e-05,5,0.000774916959926486,True,20,0.0015572078991681337,True,5,0
erdos_renyi,50,24,186,0.15183673469387754,7.44,14,1,2.757970268150112,0.14601609501609503,4,2.1355102040816325,0.9213172212466467,16.08601197377782,0.9213172212466467,8.497780583245996,-4.853620656058331,1,7,0.0002566669136285782,6,7.68748577684164e-05,4,0.0007767921779304743,True,20,0.0015956249553710222,True,4,0
erdos_renyi,50,25,163,0.13306122448979593,6.52,13,2,2.351510153071851,0.11138372738372737,4,2.239183673469388,1.5884212231876471,15.022382609854962,1.5884212231876471,7.476534706791058,-4.597005368003248,1,5,0.0002493751235306263,5,7.291696965694427e-05,4,0.0007691250648349524,True,20,0.0018225829117000103,True,4,0
erdos_renyi,50,26,185,0.1510204081632653,7.4,12,3,1.928730152198591,0.12373593073593073,4,2.140408163265306,1.9567836094981341,14.59249296046391,1.9567836094981341,7.9901224143087,-5.2363585866047035,1,5,0.00026575010269880295,5,7.712491787970066e-05,4,0.0007810830138623714,True,20,0.001574499998241663,True,4,0
erdos_renyi,50,27,190,0.15510204081632653,7.6,13,4,2.5219040425836985,0.1663910533910534,4,2.1028571428571428,2.1476091294734787,15.418503405271446,2.1476091294734787,8.49540029954694,-5.103752776543009,1,6,0.00025416607968509197,5,7.820897735655308e-05,5,0.0007725830655544996,True,20,0.0015639590565115213,True,5,0
erdos_renyi,50,28,169,0.13795918367346938,6.76,11,2,2.0548479262466115,0.11465512265512265,4,2.190204081632653,1.6774736144744558,13.039741958539153,1.6774736144744558,7.348608512703633,-4.579635820671363,1,6,0.0002464170102030039,5,7.462501525878906e-05,5,0.0007676659151911736,True,20,0.0015239589847624302,True,5,0
erdos_renyi,50,29,156,0.1273469387755102,6.24,12,3,2.371160053644629,0.12242279942279943,4,2.2742857142857145,1.5087335199264487,14.397032324992965,1.5087335199264487,7.156912814303679,-4.402764790711237,1,6,0.00024749990552663803,5,7.204199209809303e-05,4,0.0007647089660167694,True,20,0.0014827919658273458,True,4,0
erdos_renyi,100,0,730,0.14747474747474748,14.6,25,8,3.449637662132068,0.14641461679015857,3,1.944040404040404,6.159800312978991,27.17504706289886,6.159800312978991,15.443901820113634,-6.8531093526284845,1,9,0.000351583119481802,8,0.00020224996842443943,7,0.0029766669031232595,True,12,0.002718584146350622,True,7,0
erdos_renyi,100,1,743,0.1501010101010101,14.86,26,8,3.591712683386576,0.15202371155713462,3,1.942020202020202,6.3313233156429165,28.23199909465972,6.3313233156429165,15.794404853691143,-6.913456255877463,1,9,0.0003584998194128275,9,0.00020783394575119019,7,0.0029756659641861916,True,12,0.0027316671330481768,True,7,0
erdos_renyi,100,2,732,0.1478787878787879,14.64,21,8,3.0050623953588715,0.16180732391103908,3,1.948888888888889,6.184356460230287,25.177915664704095,6.184356460230287,15.308518575115954,-7.01593448744187,1,9,0.0003595419693738222,8,0.0002043750137090683,7,0.0029764999635517597,True,12,0.002789250109344721,True,7,0
erdos_renyi,100,3,751,0.15171717171717172,15.02,24,6,3.80783402999658,0.15711172093935588,3,1.9418181818181819,5.273873065765403,27.21993434577753,5.273873065765403,16.028208434976296,-7.009244665325881,1,9,0.0003563750069588423,9,0.00020650005899369717,7,0.0029775002039968967,True,13,0.002793707884848118,True,7,0
erdos_renyi,100,4,816,0.16484848484848486,16.32,29,7,4.032071427938746,0.17126451400434742,3,1.8903030303030304,6.326262327569313,31.00114119195964,6.326262327569313,17.330914238099865,-6.980833032439198,1,10,0.0003655829932540655,9,0.00021424982696771622,7,0.003005790989845991,True,18,0.0029301249887794256,True,7,0
erdos_renyi,100,5,691,0.1395959595959596,13.82,23,7,3.047556398165586,0.13898569686471826,3,1.9763636363636363,5.899741176936138,25.298601829880518,5.899741176936138,14.496760164437436,-6.838904053293236,1,8,0.00035149999894201756,8,0.00019699987024068832,7,0.0029479158110916615,True,12,0.0026974580250680447,True,7,0
erdos_renyi,100,6,732,0.1478787878787879,14.64,24,7,3.5482953653832148,0.1459931325610421,3,1.9426262626262627,6.008576087859145,26.53140209615369,6.008576087859145,15.506557552173248,-7.086144085853109,1,9,0.0003587091341614723,8,0.00020545790903270245,6,0.003006582846865058,True,12,0.002798292087391019,True,6,0
erdos_renyi,100,7,697,0.1408080808080808,13.94,26,3,3.5037693988046645,0.14255909463773242,3,1.9723232323232323,2.7689326787085733,27.869171409875353,2.7689326787085733,14.81828057933302,-7.133448735037518,1,9,0.00035566603764891624,8,0.00020012515597045422,7,0.0029770410619676113,True,12,0.0026743330527096987,True,7,0
erdos_renyi,100,8,766,0.15474747474747474,15.32,25,4,3.773274440058661,0.16739184921956493,3,1.9296969696969697,3.697839303562977,27.881480089236316,3.697839303562977,16.26506189838453,-7.362373815703034,1,10,0.00035920809023082256,9,0.00020691705867648125,8,0.002987625077366829,True,13,0.0028231660835444927,True,8,0
erdos_renyi,100,9,751,0.15171717171717172,15.02,25,7,3.4841928764062415,0.15537207025561448,3,1.936969696969697,6.103850892835931,27.441939462413337,6.103850892835931,15.82944953086973,-7.407703539565582,1,9,0.0003618330229073763,9,0.0002109161578118801,8,0.003036583075299859,True,12,0.0028319170232862234,True,8,0
erdos_renyi,100,10,721,0.14565656565656565,14.42,26,7,3.4761472926215307,0.15105489553222087,3,1.9606060606060607,6.010307445846123,28.207577602933537,6.010307445846123,15.271733871304317,-6.6961021111142545,1,9,0.0003495828714221716,8,0.000200208043679595,7,0.002984000137075782,True,12,0.004860458895564079,True,7,0
erdos_renyi,100,11,783,0.15818181818181817,15.66,29,8,3.7342201327720357,0.1620506465331278,3,1.9113131313131313,6.8927267582304275,30.87231201921999,6.8927267582304275,16.555106591605142,-7.365739843304842,1,9,0.0003960831090807915,8,0.00021474994719028473,7,0.002971749985590577,True,13,0.0029474589973688126,True,7,0
erdos_renyi,100,12,752,0.15191919191919193,15.04,28,6,4.287003615580467,0.1636228555588631,3,1.937171717171717,5.344659161029792,30.22381803458615,5.344659161029792,16.33964773839166,-7.031670319962434,1,11,0.0003749157767742872,8,0.00020987493917346,7,0.002976875053718686,True,13,0.0034597080666571856,True,7,0
erdos_renyi,100,13,697,0.1408080808080808,13.94,22,7,3.1235236512631053,0.13403562253020457,3,1.975151515151515,5.797999264619188,24.874724418942154,5.797999264619188,14.678600566784745,-6.941058450154603,1,9,0.000386958010494709,8,0.00020337500609457493,6,0.0029754580464214087,True,12,0.00307675008662045,True,6,0
erdos_renyi,100,14,745,0.1505050505050505,14.9,23,8,3.398529093593286,0.15493635287029417,3,1.9347474747474747,6.453949917596744,26.13948445526577,6.453949917596744,15.760850275627835,-7.144356489301368,1,10,0.00036795902997255325,8,0.00020474987104535103,7,0.0029799998737871647,True,12,0.0028892499394714832,True,7,0
erdos_renyi,100,15,730,0.14747474747474748,14.6,25,5,3.57211421989835,0.1444224707883612,3,1.9515151515151514,4.451591094407898,27.718464761577486,4.451591094407898,15.52642219307981,-6.956486201576473,1,9,0.00036304094828665257,8,0.00020749983377754688,7,0.0029789169784635305,True,12,0.002846791874617338,True,7,0
erdos_renyi,100,16,746,0.1507070707070707,14.92,24,9,3.061633550900565,0.13923683129511638,3,1.9244444444444444,7.1768132961648545,26.904685699362616,7.1768132961648545,15.574575628818849,-7.193946802565762,1,9,0.0003595829475671053,8,0.00021125003695487976,7,0.002971791895106435,True,12,0.002858083928003907,True,7,0
erdos_renyi,100,17,725,0.14646464646464646,14.5,26,6,3.670149860700514,0.1547304255667158,3,1.9597979797979799,5.103521695026216,28.003684849322596,5.103521695026216,15.489401796758568,-7.217469929370498,1,9,0.0003629999700933695,8,0.00020399992354214191,7,0.002981542143970728,True,12,0.002794124884530902,True,7,0
erdos_renyi,100,18,776,0.15676767676767678,15.52,25,8,3.3331066589594758,0.153699220278383,3,1.9183838383838383,6.950487314693659,27.38154666068352,6.950487314693659,16.30373865653602,-7.103809460237837,1,9,0.0003952078986912966,9,0.00021204212680459023,7,0.0029975001234561205,True,13,0.002994332928210497,True,7,0
erdos_renyi,100,19,743,0.1501010101010101,14.86,24,8,3.6028322192408573,0.15029611129362105,3,1.9444444444444444,6.423145260567716,26.84441024277889,6.423145260567716,15.798003882786972,-7.419242915393664,1,9,0.0003612081054598093,8,0.00020716595463454723,7,0.0029624998569488525,True,12,0.0028321670833975077,True,7,0
erdos_renyi,100,20,805,0.16262626262626262,16.1,26,8,3.8065732621348563,0.16501949675711283,3,1.8997979797979798,6.7505968712947695,28.441878460784377,6.7505968712947695,17.03318924511975,-7.171275274269474,1,9,0.0003659580834209919,8,0.0002146249171346426,8,0.003007667139172554,True,18,0.002905749948695302,True,8,0
erdos_renyi,100,21,737,0.14888888888888888,14.74,27,6,3.6017218104678768,0.15917662904118013,3,1.9517171717171717,5.285618511566841,28.99575016309357,5.285618511566841,15.659641459962653,-7.003451626131188,1,10,0.0003553749993443489,8,0.0002054581418633461,7,0.0029541251715272665,True,12,0.002753250068053603,True,7,0
erdos_renyi,100,22,754,0.15232323232323233,15.08,22,7,3.3156598136720845,0.14646583859896553,3,1.9305050505050505,5.888082141066859,25.575338394307614,5.888082141066859,15.815030390148607,-7.331964239897159,1,9,0.0003552080597728491,8,0.0002080418635159731,7,0.0029924160335212946,True,12,0.004705833969637752,True,7,0
erdos_renyi,100,23,700,0.1414141414141414,14.0,27,7,3.331666249791536,0.13539871967271347,3,1.9658585858585857,5.879673818071511,28.86173934195121,5.879673818071511,14.813282438328265,-6.8425078428384385,1,9,0.0003532920964062214,8,0.00019970815628767014,7,0.0029364998918026686,True,12,0.0026839592028409243,True,7,0
