family,n,instance,m,gnn_nols,gnn_ls,sdp_bound,rand_ls
random_regular,200,0,300,3.0,267.0,287.8356870365566,247.0
random_regular,200,1,300,3.0,254.0,287.59545323425067,247.0
random_regular,200,2,300,3.0,261.0,287.8634915721369,256.0
random_regular,200,3,300,3.0,255.0,288.8041624176447,260.0
random_regular,200,4,300,3.0,253.0,285.88450968462234,258.0
random_regular,200,5,300,3.0,256.0,285.9970129449155,251.0
random_regular,200,6,300,3.0,258.0,286.2823914302562,253.0
random_regular,200,7,300,3.0,255.0,288.12785242988355,256.0
random_regular,200,8,300,3.0,248.0,286.3785627521363,251.0
random_regular,200,9,300,3.0,252.0,285.7418215992119,261.0
random_regular,200,10,300,3.0,257.0,286.66085947157165,253.0
random_regular,200,11,300,3.0,250.0,286.7762426056545,257.0
random_regular,200,12,300,3.0,246.0,285.9264478878291,260.0
random_regular,200,13,300,3.0,247.0,287.3314813026338,255.0
random_regular,200,14,300,3.0,250.0,284.88248710960363,249.0
random_regular,200,15,300,3.0,254.0,286.0961767200961,254.0
random_regular,200,16,300,3.0,255.0,289.05253685653844,253.0
random_regular,200,17,300,3.0,255.0,286.273010833466,261.0
random_regular,200,18,300,3.0,252.0,285.517020468487,252.0
random_regular,200,19,300,3.0,255.0,286.1411843142628,248.0
random_regular,200,20,300,3.0,254.0,286.47232570415235,253.0
random_regular,200,21,300,3.0,254.0,287.19769422109823,249.0
random_regular,200,22,300,3.0,257.0,286.408009947863,250.0
random_regular,200,23,300,3.0,257.0,286.86490247222207,261.0
random_regular,200,24,300,3.0,250.0,287.31779062508497,251.0
random_regular,200,25,300,3.0,261.0,288.7040782201897,255.0
random_regular,200,26,300,3.0,254.0,286.41791152927374,262.0
random_regular,200,27,300,3.0,252.0,285.4739737611311,259.0
random_regular,200,28,300,3.0,254.0,287.0306399460735,260.0
random_regular,200,29,300,3.0,259.0,286.9531947285203,253.0
barabasi_albert,20,0,51,9.0,38.0,40.82594089183118,37.0
barabasi_albert,20,1,51,5.0,40.0,41.71485493898227,39.0
barabasi_albert,20,2,51,25.0,36.0,40.82150269872513,35.0
barabasi_albert,20,3,51,36.0,39.0,40.395783036043426,39.0
barabasi_albert,20,4,51,3.0,36.0,40.393923473604744,35.0
barabasi_albert,20,5,51,39.0,40.0,41.58145984004997,40.0
barabasi_albert,20,6,51,19.0,33.0,39.55590857678714,33.0
barabasi_albert,20,7,51,4.0,34.0,39.46028292054247,33.0
barabasi_albert,20,8,51,28.0,38.0,41.19393821545473,40.0
barabasi_albert,20,9,51,24.0,37.0,39.31614955803548,35.0
barabasi_albert,20,10,51,31.0,39.0,39.86289373536227,34.0
barabasi_albert,20,11,51,28.0,37.0,38.30022760855523,37.0
barabasi_albert,20,12,51,36.0,37.0,38.53227032961717,34.0
barabasi_albert,20,13,51,32.0,39.0,40.69026036660922,37.0
barabasi_albert,20,14,51,33.0,38.0,40.56121709883916,39.0
barabasi_albert,20,15,51,35.0,38.0,39.933716770956,35.0
barabasi_albert,20,16,51,29.0,37.0,39.8057578531544,37.0
barabasi_albert,20,17,51,10.0,39.0,40.643867239772646,37.0
barabasi_albert,20,18,51,36.0,38.0,39.78556697623921,34.0
barabasi_albert,20,19,51,30.0,38.0,40.33701378313419,38.0
barabasi_albert,20,20,51,6.0,36.0,40.72200033537024,39.0
barabasi_albert,20,21,51,37.0,37.0,39.40777868876568,35.0
barabasi_albert,20,22,51,39.0,39.0,40.28242673431768,34.0
barabasi_albert,20,23,51,19.0,35.0,40.25431213815974,35.0
barabasi_albert,20,24,51,19.0,35.0,39.70082892655136,38.0
barabasi_albert,20,25,51,33.0,38.0,39.86673660191492,33.0
barabasi_albert,20,26,51,30.0,40.0,41.817061160375886,38.0
barabasi_albert,20,27,51,12.0,39.0,39.684966975114605,39.0
barabasi_albert,20,28,51,28.0,38.0,40.221251757739296,35.0
barabasi_albert,20,29,51,9.0,38.0,39.79067495838459,36.0
barabasi_albert,50,0,141,97.0,106.0,115.74500505408724,100.0
barabasi_albert,50,1,141,103.0,103.0,115.39615432332894,103.0
barabasi_albert,50,2,141,96.0,104.0,111.54617436931456,103.0
barabasi_albert,50,3,141,101.0,105.0,111.50374058250122,103.0
barabasi_albert,50,4,141,94.0,105.0,112.170758365816,98.0
barabasi_albert,50,5,141,104.0,105.0,114.32843505158829,99.0
barabasi_albert,50,6,141,93.0,101.0,113.575575622344,105.0
barabasi_albert,50,7,141,98.0,104.0,112.36811471888498,102.0
barabasi_albert,50,8,141,108.0,109.0,114.03378143241932,101.0
barabasi_albert,50,9,141,106.0,106.0,112.29742223385082,100.0
barabasi_albert,50,10,141,93.0,102.0,112.37389177541672,99.0
barabasi_albert,50,11,141,99.0,103.0,110.9241469399842,99.0
barabasi_albert,50,12,141,103.0,104.0,113.11411038501724,104.0
barabasi_albert,50,13,141,97.0,104.0,112.44915705708364,95.0
barabasi_albert,50,14,141,101.0,107.0,113.458980392475,105.0
barabasi_albert,50,15,141,102.0,108.0,113.47472498019604,106.0
barabasi_albert,50,16,141,100.0,106.0,114.56673133760908,97.0
barabasi_albert,50,17,141,101.0,104.0,113.20611098587275,105.0
barabasi_albert,50,18,141,86.0,109.0,112.36459839906274,100.0
barabasi_albert,50,19,141,102.0,107.0,113.52079839737912,107.0
barabasi_albert,50,20,141,105.0,106.0,115.42145949326262,104.0
barabasi_albert,50,21,141,101.0,106.0,113.6049207526402,102.0
barabasi_albert,50,22,141,103.0,107.0,112.1224416882901,102.0
barabasi_albert,50,23,141,102.0,105.0,113.85917956492769,106.0
barabasi_albert,50,24,141,100.0,108.0,112.5867424472782,102.0
barabasi_albert,50,25,141,100.0,107.0,114.658402379039,101.0
barabasi_albert,50,26,141,101.0,107.0,112.78100744006916,104.0
barabasi_albert,50,27,141,101.0,108.0,113.87786336377874,98.0
barabasi_albert,50,28,141,97.0,104.0,114.91315869911818,108.0
